title,description,target_group,objectives,url,scraped_at
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.922835
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.928055
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.933258
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.938312
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.938876
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.939425
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.939925
Ministry Of Health,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.940606
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.955564
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.957401
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.959268
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.961104
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.962929
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.964713
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.966472
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.968176
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.969851
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.971500
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.973102
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.974688
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.975002
Health Minister visits UG health facilities,,,[],https://www.moh.gov.gh/,2025-07-09T14:34:28.975235
