name,location,contact,services,source_url,scraped_at
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,,,['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/,2025-07-09T14:26:48.651699
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,,,['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/,2025-07-09T14:26:48.653247
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,,,['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/,2025-07-09T14:26:48.666456
PRESIDENT MAHAMA LAUNCHES GHANA MEDICAL TRUST FUND TO SUPPORT CHRONIC DISEASE CARE,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.672842
PRESIDENT MAHAMA LAUNCHES GHANA MEDICAL TRUST FUND TO SUPPORT CHRONIC DISEASE CARE,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.673557
PRESIDENT MAHAMA LAUNCHES GHANA MEDICAL TRUST FUND TO SUPPORT CHRONIC DISEASE CARE,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.674130
HEALTH MINISTER DONATES MEDICAL EQUIPMENT TO TAMALE TEACHING HOSPITAL,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.676039
HEALTH MINISTER DONATES MEDICAL EQUIPMENT TO TAMALE TEACHING HOSPITAL,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.676749
HEALTH MINISTER DONATES MEDICAL EQUIPMENT TO TAMALE TEACHING HOSPITAL,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.677304
Minister for Health commissioned Kpone Municipal Hospital,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.679219
Minister for Health commissioned Kpone Municipal Hospital,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.679940
Minister for Health commissioned Kpone Municipal Hospital,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.680510
Hon. Minister for Health inaugurates Ghana Medical Trust Fund (MahamaCares) Taskforce,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.693827
Hon. Minister for Health inaugurates Ghana Medical Trust Fund (MahamaCares) Taskforce,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.694547
Hon. Minister for Health inaugurates Ghana Medical Trust Fund (MahamaCares) Taskforce,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.695108
Minister for Health paid a working visit to Ahanta West Municipal Hospital,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.695548
Minister for Health paid a working visit to Ahanta West Municipal Hospital,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.696282
Minister for Health paid a working visit to Ahanta West Municipal Hospital,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.696826
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,,,['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/,2025-07-09T14:26:48.747970
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,,,['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/,2025-07-09T14:26:48.748649
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,,,['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/,2025-07-09T14:26:48.749175
Press Release: Completed hospitals under Agenda 111,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.780570
Press Release: Completed hospitals under Agenda 111,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.782061
Press Release: Completed hospitals under Agenda 111,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.782807
Center for Scientific Research into Plant Medicine,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.872910
Center for Scientific Research into Plant Medicine,,,[],https://www.moh.gov.gh/,2025-07-09T14:26:48.873549
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,"Highlighting the pivotal role of the Ghana Health Service, the Minister described the institution as the frontline of care, from CHPS compounds to regional hospitals and underscored its central role in delivering the government’s health reforms.","{""@context"":""http:\/\/schema.org"",""@type"":""BreadcrumbList"",""@id"":""#Breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""item"":{""name"":""Home"",""@id"":""https:\/\/www.moh.gov.gh\/""}},{""@type"":""ListItem"",""position"":2,""item"":{""name"":""News &amp; Events"",""@id"":""https:\/\/www.moh.gov.gh\/category\/news\/""}}]}",['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/health-minister-inaugurates-boards-of-ghana-health-service-and-ho-teaching-hospital/,2025-07-09T14:26:53.945064
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,"Highlighting the pivotal role of the Ghana Health Service, the Minister described the institution as the frontline of care, from CHPS compounds to regional hospitals and underscored its central role in delivering the government’s health reforms.","{""@context"":""http:\/\/schema.org"",""@type"":""BreadcrumbList"",""@id"":""#Breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""item"":{""name"":""Home"",""@id"":""https:\/\/www.moh.gov.gh\/""}},{""@type"":""ListItem"",""position"":2,""item"":{""name"":""News &amp; Events"",""@id"":""https:\/\/www.moh.gov.gh\/category\/news\/""}}]}",['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/health-minister-inaugurates-boards-of-ghana-health-service-and-ho-teaching-hospital/,2025-07-09T14:26:53.951908
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,"Highlighting the pivotal role of the Ghana Health Service, the Minister described the institution as the frontline of care, from CHPS compounds to regional hospitals and underscored its central role in delivering the government’s health reforms.","{""@context"":""http:\/\/schema.org"",""@type"":""BreadcrumbList"",""@id"":""#Breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""item"":{""name"":""Home"",""@id"":""https:\/\/www.moh.gov.gh\/""}},{""@type"":""ListItem"",""position"":2,""item"":{""name"":""News &amp; Events"",""@id"":""https:\/\/www.moh.gov.gh\/category\/news\/""}}]}",['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/health-minister-inaugurates-boards-of-ghana-health-service-and-ho-teaching-hospital/,2025-07-09T14:26:53.966659
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,"Highlighting the pivotal role of the Ghana Health Service, the Minister described the institution as the frontline of care, from CHPS compounds to regional hospitals and underscored its central role in delivering the government’s health reforms.","{""@context"":""http:\/\/schema.org"",""@type"":""BreadcrumbList"",""@id"":""#Breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""item"":{""name"":""Home"",""@id"":""https:\/\/www.moh.gov.gh\/""}},{""@type"":""ListItem"",""position"":2,""item"":{""name"":""News &amp; Events"",""@id"":""https:\/\/www.moh.gov.gh\/category\/news\/""}}]}",['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/health-minister-inaugurates-boards-of-ghana-health-service-and-ho-teaching-hospital/,2025-07-09T14:26:54.034950
HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL,"Highlighting the pivotal role of the Ghana Health Service, the Minister described the institution as the frontline of care, from CHPS compounds to regional hospitals and underscored its central role in delivering the government’s health reforms.","{""@context"":""http:\/\/schema.org"",""@type"":""BreadcrumbList"",""@id"":""#Breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""item"":{""name"":""Home"",""@id"":""https:\/\/www.moh.gov.gh\/""}},{""@type"":""ListItem"",""position"":2,""item"":{""name"":""News &amp; Events"",""@id"":""https:\/\/www.moh.gov.gh\/category\/news\/""}}]}",['HEALTH MINISTER INAUGURATES BOARDS OF GHANA HEALTH SERVICE AND HO TEACHING HOSPITAL'],https://www.moh.gov.gh/health-minister-inaugurates-boards-of-ghana-health-service-and-ho-teaching-hospital/,2025-07-09T14:26:54.036300
